country;Squad;ø-Age;WC_particip.;Abroad;Market Value;Team-Logo;Flag;game1_opponent;game1_result;game1_score;game1_date;game2_opponent;game2_result;game2_score;game2_date;game3_opponent;game3_result;game3_score;game3_date;game4_opponent;game4_result;game4_score;game4_penalties;game4_date;game5_opponent;game5_result;game5_score;game5_penalties;game5_date;game6_opponent;game6_result;game6_score;game6_penalties;game6_date;game7_opponent;game7_result;game7_score;game7_penalties;game7_date
Uruguay;22;26,8;13;95,5 %;368,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/URU;https://talksport.com/wp-content/uploads/sites/5/2018/06/uruguay.png?strip=all&quality=100&w=960;;;2-11;;;;1-10;;;;0-10;;;;4-13;;;;;4-13;;;;;1-10;;;;;4-12;;
Senegal;25;25,8;2;96,0 %;343,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/SEN;https://talksport.com/wp-content/uploads/sites/5/2018/06/senegal.png?strip=all&quality=100&w=960;;;2-12;;;;1-11;;;;0-11;;;;4-14;;;;;4-14;;;;;1-11;;;;;4-13;;
Poland;28;27,2;8;85,7 %;332,10 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/POL;https://talksport.com/wp-content/uploads/sites/5/2018/06/poland_0.png?strip=all&quality=100&w=960;;;2-13;;;;1-12;;;;0-12;;;;4-15;;;;;4-15;;;;;1-12;;;;;4-14;;
Denmark;23;27,0;5;95,7 %;330,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/DEN;https://talksport.com/wp-content/uploads/sites/5/2018/06/denmark.png?strip=all&quality=100&w=960;;;2-14;;;;1-13;;;;0-13;;;;4-16;;;;;4-16;;;;;1-13;;;;;4-15;;
Colombia;23;26,1;6;78,3 %;290,05 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/COL;https://talksport.com/wp-content/uploads/sites/5/2018/06/colombia.png?strip=all&quality=100&w=960;;;2-15;;;;1-14;;;;0-14;;;;4-17;;;;;4-17;;;;;1-14;;;;;4-16;;
Switzerland;23;26,4;11;73,9 %;283,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/SUI;https://talksport.com/wp-content/uploads/sites/5/2018/06/switzerland.png?strip=all&quality=100&w=960;;;2-16;;;;1-15;;;;0-15;;;;4-18;;;;;4-18;;;;;1-15;;;;;4-17;;
Russia;26;27,9;4;15,4 %;204,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/RUS;https://talksport.com/wp-content/uploads/sites/5/2018/06/russia_1.png?strip=all&quality=100&w=960;;;2-17;;;;1-16;;;;0-16;;;;4-19;;;;;4-19;;;;;1-16;;;;;4-18;;
Mexico;26;26,8;16;38,5 %;181,40 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/MEX;https://talksport.com/wp-content/uploads/sites/5/2018/06/mexico.png?strip=all&quality=100&w=960;;;2-18;;;;1-17;;;;0-17;;;;4-20;;;;;4-20;;;;;1-17;;;;;4-19;;
Nigeria;24;24,7;6;83,3 %;135,25 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/NIG;https://talksport.com/wp-content/uploads/sites/5/2018/06/nigeria.png?strip=all&quality=100&w=960;;;2-19;;;;1-18;;;;0-18;;;;4-21;;;;;4-21;;;;;1-18;;;;;4-20;;
Morocco;23;27,6;5;82,6 %;129,63 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/MAR;https://talksport.com/wp-content/uploads/sites/5/2018/06/morocco.png?strip=all&quality=100&w=960;;;2-20;;;;1-19;;;;0-19;;;;4-22;;;;;4-22;;;;;1-19;;;;;4-21;;
South Korea;27;25,6;10;74,1 %;103,40 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/KOR;https://talksport.com/wp-content/uploads/sites/5/2018/06/southkorea.png?strip=all&quality=100&w=960;;;2-21;;;;1-20;;;;0-20;;;;4-23;;;;;4-23;;;;;1-20;;;;;4-22;;
Iceland;23;28,9;1;91,3 %;93,30 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/ISL;https://talksport.com/wp-content/uploads/sites/5/2018/06/iceland.png?strip=all&quality=100&w=960;;;2-22;;;;1-21;;;;0-21;;;;4-24;;;;;4-24;;;;;1-21;;;;;4-23;;
Sweden;23;28,1;12;87,0 %;88,95 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/SWE;https://talksport.com/wp-content/uploads/sites/5/2018/06/sweden.png?strip=all&quality=100&w=960;;;2-23;;;;1-22;;;;0-22;;;;4-25;;;;;4-25;;;;;1-22;;;;;4-24;;
Japan;23;26,2;6;47,8 %;79,45 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/JPN;https://talksport.com/wp-content/uploads/sites/5/2018/06/japan.png?strip=all&quality=100&w=960;;;2-24;;;;1-23;;;;0-23;;;;4-26;;;;;4-26;;;;;1-23;;;;;4-25;;
Iran;23;27,9;5;52,2 %;63,95 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/IRN;https://talksport.com/wp-content/uploads/sites/5/2018/06/iran.png?strip=all&quality=100&w=960;;;2-25;;;;1-24;;;;0-24;;;;4-27;;;;;4-27;;;;;1-24;;;;;4-26;;
Tunisia;25;26,3;5;60,0 %;42,10 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/TUN;https://talksport.com/wp-content/uploads/sites/5/2018/06/800px-flag_of_tunisia.png?strip=all&quality=100&w=800;;;2-26;;;;1-25;;;;0-25;;;;4-28;;;;;4-28;;;;;1-25;;;;;4-27;;
Australia;23;27,5;5;82,6 %;39,00 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/AUS;https://talksport.com/wp-content/uploads/sites/5/2018/06/australia.png?strip=all&quality=100&w=960;;;2-27;;;;1-26;;;;0-26;;;;4-29;;;;;4-29;;;;;1-26;;;;;4-28;;
Peru;23;26,6;5;69,6 %;37,70 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/PER;https://talksport.com/wp-content/uploads/sites/5/2018/06/peru.png?strip=all&quality=100&w=960;;;2-28;;;;1-27;;;;0-27;;;;4-30;;;;;4-30;;;;;1-27;;;;;4-29;;
Egypt;24;25,5;3;25,0 %;33,75 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/EGY;https://talksport.com/wp-content/uploads/sites/5/2018/06/egypt.png?strip=all&quality=100&w=960;;;2-29;;;;1-28;;;;0-28;;;;4-31;;;;;4-31;;;;;1-28;;;;;4-30;;
Saudi Arabia;44;26,6;5;4,5 %;27,25 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/KSA;https://talksport.com/wp-content/uploads/sites/5/2018/06/saudiarabia.png?strip=all&quality=100&w=960;;;2-30;;;;1-29;;;;0-29;;;;4-32;;;;;4-32;;;;;1-29;;;;;4-31;;
Costa Rica;23;26,8;5;65,2 %;26,70 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/CRC;https://talksport.com/wp-content/uploads/sites/5/2018/06/costarica.png?strip=all&quality=100&w=960;;;2-31;;;;1-30;;;;0-30;;;;4-33;;;;;4-33;;;;;1-30;;;;;4-32;;
Panama;15;25,1;1;6,7 %;1,08 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/PAN;https://talksport.com/wp-content/uploads/sites/5/2018/06/panama.png?strip=all&quality=100&w=960;;;2-32;;;;1-31;;;;0-31;;;;4-34;;;;;4-34;;;;;1-31;;;;;4-33;;
