"Player","FullName","Appearances","Minutes","Goals","Assists","YellowCard","RedCard","ShotsPerGame","PassSuccessPercentage","ManOfTheMatch","Rating","Team","Group","Squad Number","Position","Captain","Date Of Birth","Age","Caps","GoalsBeforeTournament","Club","Photo","Flag","Club Logo","Value"
"Mário Rui","Mário Rui","0","0","0","0","0","0","0","0","0","0","Portugal","B","19","DF","-","1991/05/27","27","3","0","Napoli","https://cdn.sofifa.org/players/10/19/204614.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/48.png","€11.5M"
"Rodrigo","Rodrigo","0","0","0","0","0","0","0","0","0","0","Spain","B","9","FW","-","1991/03/06","27","5","2","Valencia CF","https://cdn.sofifa.org/players/10/19/198329.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/461.png","€30.5M"
"Isco","Isco","4","390","1","0","0","0","0","91.4","1","8.29","Spain","B","22","MF","-","1992/04/21","26","27","10","Real Madrid","https://cdn.sofifa.org/players/10/19/197781.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/243.png","€73.5M"
"Thiago Silva","Thiago Silva","5","450","1","0","0","0","0","93.6","0","7.31","Brazil","E","2","DF","-","1984/09/22","33","70","5","Paris Saint-Germain","https://cdn.sofifa.org/players/10/19/164240.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/73.png","€24M"
"Gabriel Jesus","Gabriel Jesus","5","407","0","1","0","0","0","73","0","6.92","Brazil","E","9","FW","-","1997/04/03","21","16","9","Manchester City","https://cdn.sofifa.org/players/10/19/230666.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/10.png","€41M"
"Adrien Silva","Adrien Silva","3","156","0","1","1","0","0","91.6","0","6.23","Portugal","B","23","MF","-","1989/03/15","29","22","1","Leicester City","https://cdn.sofifa.org/players/10/19/184826.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/95.png","€12M"
"Pepe Reina","Pepe Reina","0","0","0","0","0","0","0","0","0","0","Spain","B","23","GK","-","1982/08/31","35","36","0","Milan","https://cdn.sofifa.org/players/10/19/24630.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/47.png","€6M"
"Pepe","Pepe","4","360","1","0","0","0","0","81.1","1","7.03","Portugal","B","3","DF","-","1983/02/26","35","94","5","Beşiktaş JK","https://cdn.sofifa.org/players/10/19/120533.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/327.png","€9M"
"Ederson","Ederson","0","0","0","0","0","0","0","0","0","0","Brazil","E","23","GK","-","1993/08/17","24","1","0","Manchester City","https://cdn.sofifa.org/players/10/19/210257.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/10.png","€41.5M"
"Gonçalo Guedes","Gonçalo Guedes","4","245","0","1","0","0","0","83.9","0","6.53","Portugal","B","17","FW","-","1996/11/29","21","9","1","Valencia CF","https://cdn.sofifa.org/players/10/19/224411.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/461.png","€29M"
"William Carvalho","William Carvalho","4","360","0","0","0","0","0","86.8","0","6.67","Portugal","B","14","MF","-","1992/04/07","26","42","2","Real Betis","https://cdn.sofifa.org/players/10/19/207566.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/449.png","€31.5M"
"Cássio","Cássio","0","0","0","0","0","0","0","0","0","0","Brazil","E","16","GK","-","1987/06/06","30","1","0","Al Taawoun","https://cdn.sofifa.org/players/10/19/165769.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/112393.png","€450K"
"Bernardo Silva","Bernardo Silva","4","238","0","0","0","0","0","81.5","0","6.57","Portugal","B","11","MF","-","1994/08/10","23","24","2","Manchester City","https://cdn.sofifa.org/players/10/19/218667.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/10.png","€59.5M"
"Marcelo","Marcelo","4","280","0","0","0","0","0","87.5","0","7.16","Brazil","E","12","DF","-","1988/05/12","30","53","6","Real Madrid","https://cdn.sofifa.org/players/10/19/176676.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/243.png","€43M"
"Casemiro","Casemiro","4","330","0","0","2","0","1","85.7","0","7.66","Brazil","E","5","MF","-","1992/02/23","26","23","0","Real Madrid","https://cdn.sofifa.org/players/10/19/200145.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/243.png","€59.5M"
"Diego Costa","Diego Costa","4","320","3","0","0","0","0","82.1","0","7.12","Spain","B","19","FW","-","1988/10/07","29","19","7","Atlético Madrid","https://cdn.sofifa.org/players/10/19/179844.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/240.png","€38.5M"
"Nacho Monreal","Nacho Monreal","0","0","0","0","0","0","0","0","0","0","Spain","B","16","DF","-","1986/02/26","32","22","1","Arsenal","https://cdn.sofifa.org/players/10/19/177604.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/1.png","€8M"
"Alisson","Alisson","5","450","0","0","0","0","0","84.2","0","6.4","Brazil","E","1","GK","-","1992/10/02","25","25","0","Liverpool","https://cdn.sofifa.org/players/10/19/212831.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/9.png","€36.5M"
"Paulinho","Paulinho","5","354","1","0","0","0","0","87.9","0","6.78","Brazil","E","15","MF","-","1988/07/25","29","49","12","Guangzhou Evergrande Taobao FC","https://cdn.sofifa.org/players/10/19/187961.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/111839.png","€37M"
"João Moutinho","João Moutinho","3","185","0","1","0","0","0","87","1","6.96","Portugal","B","8","MF","-","1986/09/08","31","109","7","Wolverhampton Wanderers","https://cdn.sofifa.org/players/10/19/162347.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/110.png","€15M"
"Taison","Taison","0","0","0","0","0","0","0","0","0","0","Brazil","E","21","FW","-","1988/01/13","30","7","1","Shakhtar Donetsk","https://cdn.sofifa.org/players/10/19/188803.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/101059.png","€21M"
"Sergio Busquets","Sergio Busquets","4","390","0","1","1","0","1","92.7","0","7.02","Spain","B","5","MF","-","1988/07/16","29","102","2","FC Barcelona","https://cdn.sofifa.org/players/10/19/189511.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/241.png","€51.5M"
"Fernandinho","Fernandinho","5","156","0","0","1","0","0","90.9","0","6.31","Brazil","E","17","MF","-","1985/05/04","33","43","2","Manchester City","https://cdn.sofifa.org/players/10/19/135507.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/10.png","€18M"
"Ricardo Pereira","Ricardo Pereira","1","90","0","0","0","0","0","90.2","0","5.94","Portugal","B","15","DF","-","1993/10/06","24","4","0","Leicester City","https://cdn.sofifa.org/players/10/19/210243.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/95.png","€19M"
"Gelson Martins","Gelson Martins","1","31","0","0","0","0","0","90","0","6.3","Portugal","B","18","FW","-","1995/05/11","23","18","0","Atlético Madrid","https://cdn.sofifa.org/players/10/19/227055.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/240.png","€29.5M"
"Douglas Costa","Douglas Costa","2","77","0","1","0","0","2","91.3","0","7.73","Brazil","E","7","FW","-","1990/09/14","27","24","3","Juventus","https://cdn.sofifa.org/players/10/19/190483.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/45.png","€46.5M"
"Marquinhos","Marquinhos","1","1","0","0","0","0","0","100","0","6","Brazil","E","13","DF","-","1994/05/14","24","25","0","Paris Saint-Germain","https://cdn.sofifa.org/players/10/19/207865.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/73.png","€35.5M"
"Rúben Dias","Rúben Dias","0","0","0","0","0","0","0","0","0","0","Portugal","B","13","DF","-","1997/05/14","21","1","0","SL Benfica","https://cdn.sofifa.org/players/10/19/239818.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/234.png","€15M"
"Roberto Firmino","Roberto Firmino","4","82","1","0","0","0","0","73.8","0","6.51","Brazil","E","20","FW","-","1991/10/02","26","20","6","Liverpool","https://cdn.sofifa.org/players/10/19/201942.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/9.png","€53M"
"Rui Patrício","Rui Patrício","4","360","0","0","0","0","0","60.9","0","6.45","Portugal","B","1","GK","-","1988/02/15","30","68","0","Wolverhampton Wanderers","https://cdn.sofifa.org/players/10/19/178005.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/110.png","€16.5M"
"André Silva","André Silva","3","116","0","0","0","0","0","76.5","0","6.06","Portugal","B","9","FW","-","1995/11/06","22","22","12","Sevilla FC","https://cdn.sofifa.org/players/10/19/228941.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/481.png","€19M"
"Renato Augusto","Renato Augusto","3","50","1","0","0","0","1","90.9","0","6.52","Brazil","E","8","MF","-","1988/02/08","30","28","5","Beijing Sinobo Guoan FC","https://cdn.sofifa.org/players/10/19/169195.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/111768.png","€16.5M"
"Gelson Fernandes","Gelson Fernandes","0","0","0","0","0","0","0","0","0","0","Switzerland","E","16","MF","-","1986/09/02","31","67","2","Eintracht Frankfurt","https://cdn.sofifa.org/players/10/19/158438.png","https://cdn.sofifa.org/flags/47.png","https://cdn.sofifa.org/teams/10/light/1824.png","€4.5M"
"Mário Fernandes","Mário Fernandes","0","0","0","0","0","0","0","0","0","0","Russia","A","2","DF","-","1990/09/19","27","4","0","PFC CSKA Moscow","https://cdn.sofifa.org/players/10/19/193525.png","https://cdn.sofifa.org/flags/40.png","https://cdn.sofifa.org/teams/10/light/315.png","€18.5M"
"Manuel Fernandes","Manuel Fernandes","1","5","0","0","0","0","2","77.8","0","6.4","Portugal","B","4","MF","-","1986/02/05","32","14","3","Lokomotiv Moscow","https://cdn.sofifa.org/players/10/19/157960.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/100765.png","€14M"
"Filipe Luís","Filipe Luís","2","170","0","0","1","0","0","85.3","0","7.09","Brazil","E","6","DF","-","1985/08/09","32","32","2","Atlético Madrid","https://cdn.sofifa.org/players/10/19/164169.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/240.png","€21.5M"
"Sergio Ramos","Sergio Ramos","4","390","0","0","0","0","0","94.7","0","6.72","Spain","B","15","DF","captain","1986/03/30","32","151","13","Real Madrid","https://cdn.sofifa.org/players/10/19/155862.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/243.png","€51M"
"David Silva","David Silva","4","327","0","0","0","0","0","86.8","0","6.8","Spain","B","21","FW","-","1986/01/08","32","120","35","Manchester City","https://cdn.sofifa.org/players/10/19/168542.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/10.png","€60M"
"Jordi Alba","Jordi Alba","4","390","0","0","0","0","0","92.2","0","6.66","Spain","B","18","DF","-","1989/03/21","29","61","8","FC Barcelona","https://cdn.sofifa.org/players/10/19/189332.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/241.png","€38M"
"Kahraba","Kahraba","3","44","0","0","0","0","0","75","0","5.95","Egypt","A","11","FW","-","1994/04/13","24","18","3","N/A","https://cdn.sofifa.org/players/10/19/219740.png","https://cdn.sofifa.org/flags/111.png","https://cdn.sofifa.org/flags/111.png","€0"
"Bruno Fernandes","Bruno Fernandes","2","88","0","0","1","0","0","83.3","0","6.04","Portugal","B","16","MF","-","1994/09/08","23","5","0","Sporting CP","https://cdn.sofifa.org/players/10/19/212198.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/237.png","€40.5M"
"Cristiano Ronaldo","Cristiano Ronaldo","4","360","4","0","2","0","0","81.9","1","7.73","Portugal","B","7","FW","captain","1985/02/05","33","149","81","Juventus","https://cdn.sofifa.org/players/10/19/20801.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/45.png","€77M"
"Marco Asensio","Marco Asensio","3","130","0","0","0","0","0","87.1","0","6.3","Spain","B","20","MF","-","1996/01/21","22","11","0","Real Madrid","https://cdn.sofifa.org/players/10/19/220834.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/243.png","€54M"
"Miranda","Miranda","5","450","0","0","0","0","0","92.3","0","7.17","Brazil","E","3","DF","-","1984/09/07","33","46","2","Inter","https://cdn.sofifa.org/players/10/19/168609.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/44.png","€15.5M"
"João Mário","João Mário","4","261","0","0","0","0","0","86.2","0","6.64","Portugal","B","10","MF","-","1993/01/19","25","35","2","Inter","https://cdn.sofifa.org/players/10/19/212814.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/44.png","€22.5M"
"Willian","Willian","5","362","0","1","0","0","1","84.5","1","6.96","Brazil","E","19","MF","-","1988/08/09","29","56","8","Chelsea","https://cdn.sofifa.org/players/10/19/180403.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/5.png","€30.5M"
"Lee Yong","Lee Yong","3","270","0","0","1","0","0","66","0","7.01","South Korea","F","2","DF","-","1986/12/24","31","26","0","Jeonbuk Hyundai Motors","https://cdn.sofifa.org/players/10/19/200577.png","https://cdn.sofifa.org/flags/167.png","https://cdn.sofifa.org/teams/10/light/1477.png","€575K"
"Nacho","Nacho","2","160","1","0","0","0","0","94.3","0","7.21","Spain","B","4","DF","-","1990/01/18","28","16","0","Real Valladolid CF","https://cdn.sofifa.org/players/10/19/212183.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/462.png","€4.3M"
"Lucas Vázquez","Lucas Vázquez","2","84","0","0","0","0","0","71.4","0","6.23","Spain","B","11","FW","-","1991/07/01","26","6","0","Real Madrid","https://cdn.sofifa.org/players/10/19/208618.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/243.png","€27M"
"Iago Aspas","Iago Aspas","3","69","1","0","0","0","0","72.4","0","6.46","Spain","B","17","FW","-","1987/08/01","30","9","4","RC Celta","https://cdn.sofifa.org/players/10/19/192629.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/450.png","€30M"
"Danilo","Danilo","1","90","0","0","0","0","0","92.5","0","6.58","Brazil","E","14","DF","-","1991/07/15","26","17","0","Manchester City","https://cdn.sofifa.org/players/10/19/199304.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/10.png","€12M"
"C. Cáceda","Carlos Cáceda","0","0","0","0","0","0","0","0","0","0","Peru","C","12","GK","-","9/27/1991","26","4","0","N/A","https://cdn.sofifa.org/players/10/19/234054.png","https://cdn.sofifa.org/flags/59.png","https://cdn.sofifa.org/flags/59.png","€0"
"H. Hee Chan","Hwang Hee Chan","0","0","0","0","0","0","0","0","0","0","South Korea","F","11","FW","-","1/26/1996","22","13","2","N/A","N/A","N/A","N/A","N/A"
"J. Giménez","José Giménez","4","360","1","0","0","0","0","86.1","1","7.52","Uruguay","A","2","DF","-","1/20/1995","23","41","4","Atlético Madrid","https://cdn.sofifa.org/players/10/19/216460.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/240.png","€34M"
"R. Jiménez","Raúl Jiménez","2","55","0","0","0","0","0","52.9","0","6.02","Mexico","F","9","FW","-","5/5/1991","27","63","13","Wolverhampton Wanderers","https://cdn.sofifa.org/players/10/19/204838.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/110.png","€12M"
"R. Ruidíaz","Raúl Ruidíaz","2","13","0","0","0","0","0","100","0","6.03","Peru","C","11","FW","-","7/25/1990","27","30","4","Seattle Sounders FC","https://cdn.sofifa.org/players/10/19/204538.png","https://cdn.sofifa.org/flags/59.png","https://cdn.sofifa.org/teams/10/light/111144.png","€8M"
"H. Al-Mogahwi","Housain Al-Mogahwi","0","0","0","0","0","0","0","0","0","0","Saudi Arabia","A","16","MF","-","3/24/1988","30","17","1","N/A","N/A","N/A","N/A","N/A"
"K. Jin Hyeon","Kim Jin Hyeon","0","0","0","0","0","0","0","0","0","0","South Korea","F","21","GK","-","7/6/1987","30","14","0","N/A","N/A","N/A","N/A","N/A"
"K. Walker","Kyle Walker","5","495","0","0","2","0","0","91","0","7.01","England","G","2","DF","-","5/28/1990","28","35","0","Manchester City","https://cdn.sofifa.org/players/10/19/188377.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/10.png","€24.5M"
"M. El-Shenawy","Mohamed El-Shenawy","2","180","0","0","0","0","0","28.9","0","6.39","Egypt","A","23","GK","-","12/18/1988","29","2","0","N/A","https://cdn.sofifa.org/players/10/19/228182.png","https://cdn.sofifa.org/flags/111.png","https://cdn.sofifa.org/flags/111.png","€0"
"T. Inui","Takashi Inui","4","292","2","1","1","0","2","86.3","1","7.04","Japan","H","14","MF","-","6/2/1988","30","25","2","Real Betis","https://cdn.sofifa.org/players/10/19/205114.png","https://cdn.sofifa.org/flags/163.png","https://cdn.sofifa.org/teams/10/light/449.png","€14M"
"V. Claesson","Viktor Claesson","5","434","0","2","1","0","0","71.3","0","7.38","Sweden","F","17","MF","-","1/2/1992","26","21","3","N/A","https://cdn.sofifa.org/players/10/19/207554.png","https://cdn.sofifa.org/flags/46.png","https://cdn.sofifa.org/flags/46.png","€0"
"A. Semyonov","Andrei Semyonov","0","0","0","0","0","0","0","0","0","0","Russia","A","5","DF","-","3/24/1989","29","6","0","N/A","N/A","N/A","N/A","N/A"
"A. Witsel","Axel Witsel","6","540","0","0","1","0","1","94.2","0","6.93","Belgium","G","6","MF","-","1/12/1989","29","85","9","Borussia Dortmund","https://cdn.sofifa.org/players/10/19/177413.png","https://cdn.sofifa.org/flags/7.png","https://cdn.sofifa.org/teams/10/light/22.png","€24M"
"B. Idowu","Brian Idowu","3","226","0","0","1","0","0","71.6","0","6.51","Nigeria","D","2","DF","-","5/18/1992","26","4","1","Lokomotiv Moscow","https://cdn.sofifa.org/players/10/19/212054.png","https://cdn.sofifa.org/flags/133.png","https://cdn.sofifa.org/teams/10/light/100765.png","€1.1M"
"D. Carvajal","Dani Carvajal","0","0","0","0","0","0","0","0","0","0","Spain","B","2","DF","-","1/11/1992","26","15","0","N/A","N/A","N/A","N/A","N/A"
"E. Cavani","Edinson Cavani","4","344","3","0","0","0","4","80.5","1","7.75","Uruguay","A","21","FW","-","2/14/1987","31","100","42","Paris Saint-Germain","https://cdn.sofifa.org/players/10/19/179813.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/73.png","€60M"
"M. Biram Diouf","Mame Biram Diouf","2","66","0","0","0","0","0","85.7","0","6.32","Senegal","H","9","FW","-","12/16/1987","30","47","10","N/A","N/A","N/A","N/A","N/A"
"J. Guðmundsson","Jóhann Guðmundsson","0","0","0","0","0","0","0","0","0","0","Iceland","D","7","MF","-","10/27/1990","27","66","7","Burnley","https://cdn.sofifa.org/players/10/19/191076.png","https://cdn.sofifa.org/flags/24.png","https://cdn.sofifa.org/teams/10/light/1796.png","€13M"
"A. Dzyuba","Artem Dzyuba","5","333","3","2","0","0","0","67","1","7.39","Russia","A","22","FW","-","8/22/1988","29","23","11","N/A","https://cdn.sofifa.org/players/10/19/187607.png","https://cdn.sofifa.org/flags/40.png","https://cdn.sofifa.org/flags/40.png","€0"
"M. Sow","Moussa Sow","0","0","0","0","0","0","0","0","0","0","Senegal","H","7","FW","-","1/19/1986","32","50","18","N/A","N/A","N/A","N/A","N/A"
"V. Granat","Vladimir Granat","1","75","0","0","0","0","0","0","0","6.28","Russia","A","14","DF","-","5/22/1987","31","12","1","N/A","https://cdn.sofifa.org/players/10/19/187415.png","https://cdn.sofifa.org/flags/40.png","https://cdn.sofifa.org/flags/40.png","€0"
"A. Reda Tagnaouti","Ahmed Reda Tagnaouti","0","0","0","0","0","0","0","0","0","0","Morocco","B","22","GK","-","4/5/1996","22","2","0","N/A","N/A","N/A","N/A","N/A"
"C. Azpilicueta","César Azpilicueta","0","0","0","0","0","0","0","0","0","0","Spain","B","14","DF","-","8/28/1989","28","22","0","N/A","N/A","N/A","N/A","N/A"
"M. Salah","Mohamed Salah","2","180","2","0","0","0","3","78.4","0","6.98","Egypt","A","10","FW","-","6/15/1992","25","57","33","Liverpool","https://cdn.sofifa.org/players/10/19/209331.png","https://cdn.sofifa.org/flags/111.png","https://cdn.sofifa.org/teams/10/light/9.png","€69.5M"
"N. Jørgensen","Nicolai Jørgensen","3","212","0","1","0","0","0","73.8","0","6.57","Denmark","C","9","FW","-","1/15/1991","27","30","8","Feyenoord","https://cdn.sofifa.org/players/10/19/199852.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/246.png","€10.5M"
"Y. En-Nesyri","Youssef En-Nesyri","1","18","1","0","0","0","1","60","0","7.09","Morocco","B","19","FW","-","6/1/1997","21","15","1","CD Leganés","https://cdn.sofifa.org/players/10/19/235410.png","https://cdn.sofifa.org/flags/129.png","https://cdn.sofifa.org/teams/10/light/100888.png","€4.4M"
"M. Niang","M'Baye Niang","0","0","0","0","0","0","0","0","0","0","Senegal","H","19","FW","-","12/19/1994","23","5","0","Stade Rennais FC","https://cdn.sofifa.org/players/10/19/204077.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/74.png","€10.5M"
"F. Calvo","Francisco Calvo","2","106","0","0","1","0","0","85.7","0","6.48","Costa Rica","E","15","DF","-","7/8/1992","25","36","4","Minnesota United FC","https://cdn.sofifa.org/players/10/19/213064.png","https://cdn.sofifa.org/flags/72.png","https://cdn.sofifa.org/teams/10/light/111138.png","€2.4M"
"Y. Al-Mosailem","Yasser Al-Mosailem","1","90","0","0","0","0","0","81.3","0","5.89","Saudi Arabia","A","21","GK","-","2/27/1984","34","32","0","N/A","N/A","N/A","N/A","N/A"
"A. Mitrović","Aleksandar Mitrović","0","0","0","0","0","0","0","0","0","0","Serbia","E","9","FW","-","9/16/1994","23","36","13","Fulham","https://cdn.sofifa.org/players/10/19/215716.png","https://cdn.sofifa.org/flags/51.png","https://cdn.sofifa.org/teams/10/light/144.png","€12M"
"L. Augustinsson","Ludwig Augustinsson","5","450","1","0","0","0","0","67.8","0","6.81","Sweden","F","6","DF","-","4/21/1994","24","14","0","SV Werder Bremen","https://cdn.sofifa.org/players/10/19/212678.png","https://cdn.sofifa.org/flags/46.png","https://cdn.sofifa.org/teams/10/light/38.png","€10M"
"C. Tolisso","Corentin Tolisso","5","195","0","1","1","0","0","84.2","0","6.42","France","C","12","MF","-","8/3/1994","23","8","0","FC Bayern München","https://cdn.sofifa.org/players/10/19/219683.png","https://cdn.sofifa.org/flags/18.png","https://cdn.sofifa.org/teams/10/light/21.png","€34M"
"F. Uzoho","Francis Uzoho","3","270","0","0","0","0","0","48.3","0","6.53","Nigeria","D","23","GK","-","10/28/1998","19","5","0","Elche CF","https://cdn.sofifa.org/players/10/19/239120.png","https://cdn.sofifa.org/flags/133.png","https://cdn.sofifa.org/teams/10/light/468.png","€1.6M"
"M. Reza Khanzadeh","Mohammad Reza Khanzadeh","0","0","0","0","0","0","0","0","0","0","Iran","B","13","DF","-","5/11/1991","27","11","1","N/A","N/A","N/A","N/A","N/A"
"P. Kimpembe","Presnel Kimpembe","1","90","0","0","0","0","0","94.5","0","7.18","France","C","3","DF","-","8/13/1995","22","2","0","Paris Saint-Germain","https://cdn.sofifa.org/players/10/19/225850.png","https://cdn.sofifa.org/flags/18.png","https://cdn.sofifa.org/teams/10/light/73.png","€30.5M"
"Y. Young-sun","Yun Young-sun","0","0","0","0","0","0","0","0","0","0","South Korea","F","5","DF","-","10/4/1988","29","5","0","N/A","N/A","N/A","N/A","N/A"
